epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,67513,1.14702,0.84069,1.05731,0.77205,0.60152,0.69157,0.4345,1.30406,0.89055,1.06919,0.00085249,0.00085249,0.00085249
151,67846.9,1.14694,0.83823,1.05614,0.77123,0.6028,0.69124,0.43478,1.3038,0.89051,1.06899,0.0008515,0.0008515,0.0008515
152,68180.5,1.14524,0.83749,1.05667,0.77258,0.60127,0.69135,0.43516,1.30323,0.88992,1.06875,0.00085051,0.00085051,0.00085051
153,68513.4,1.14742,0.83812,1.05706,0.77358,0.6008,0.69128,0.43518,1.3031,0.88949,1.06853,0.00084952,0.00084952,0.00084952
154,68846.6,1.14578,0.83754,1.05677,0.77258,0.60084,0.69114,0.43464,1.30314,0.88946,1.06873,0.00084853,0.00084853,0.00084853
155,69178.1,1.14446,0.83621,1.05723,0.77731,0.6004,0.69192,0.43486,1.30318,0.88944,1.0687,0.00084754,0.00084754,0.00084754
156,69589.1,1.14383,0.83553,1.05642,0.77822,0.60088,0.69168,0.43478,1.3031,0.88913,1.0688,0.00084655,0.00084655,0.00084655
157,69921.5,1.14244,0.83367,1.05421,0.77687,0.60017,0.69158,0.43458,1.30292,0.88894,1.0687,0.00084556,0.00084556,0.00084556
158,70856.5,1.14289,0.83297,1.05503,0.77756,0.60058,0.69135,0.43508,1.3024,0.88858,1.06839,0.00084457,0.00084457,0.00084457
159,71192,1.14301,0.83144,1.05411,0.77637,0.60143,0.69127,0.43526,1.3022,0.88845,1.0683,0.00084358,0.00084358,0.00084358
160,71526.3,1.14216,0.83248,1.05384,0.77671,0.60141,0.69117,0.43524,1.30252,0.88855,1.06831,0.00084259,0.00084259,0.00084259
161,71862.5,1.14084,0.83033,1.05427,0.77914,0.59965,0.69086,0.4351,1.30202,0.88856,1.06831,0.0008416,0.0008416,0.0008416
162,72196.8,1.14121,0.83114,1.05326,0.77869,0.60176,0.69113,0.43532,1.30239,0.88826,1.06834,0.00084061,0.00084061,0.00084061
163,72531.8,1.13903,0.83026,1.05286,0.78042,0.60102,0.6908,0.43511,1.3023,0.88794,1.06823,0.00083962,0.00083962,0.00083962
164,72865.6,1.13927,0.8306,1.05277,0.77697,0.60365,0.69101,0.43486,1.302,0.88747,1.06804,0.00083863,0.00083863,0.00083863
165,73881.6,1.14059,0.82959,1.05332,0.77747,0.6018,0.69131,0.43529,1.30213,0.88726,1.06818,0.00083764,0.00083764,0.00083764
166,74214.6,1.13818,0.82873,1.0528,0.77541,0.60377,0.69163,0.43509,1.3019,0.88706,1.06809,0.00083665,0.00083665,0.00083665
167,74548.2,1.13867,0.82613,1.0518,0.77383,0.60393,0.69174,0.43502,1.30176,0.88676,1.06805,0.00083566,0.00083566,0.00083566
168,74882.5,1.13846,0.82731,1.05298,0.77217,0.60553,0.69112,0.43488,1.30195,0.88651,1.06814,0.00083467,0.00083467,0.00083467
169,75215.5,1.13722,0.82474,1.05164,0.77113,0.60602,0.69128,0.43527,1.30229,0.88654,1.06841,0.00083368,0.00083368,0.00083368
170,75594.1,1.13634,0.82617,1.05198,0.76985,0.6067,0.69097,0.43507,1.30207,0.88655,1.06838,0.00083269,0.00083269,0.00083269
171,75930.6,1.13497,0.82499,1.05073,0.76988,0.60552,0.69144,0.4348,1.30211,0.88639,1.06828,0.0008317,0.0008317,0.0008317
172,76262.8,1.13687,0.82387,1.05015,0.76415,0.60808,0.69141,0.43505,1.30221,0.8858,1.06828,0.00083071,0.00083071,0.00083071
